11.2 1:20040817 2:90923240 3:12.21 4:11.03 5:12.21 6:7877900
10.29 1:20040818 2:52955668 3:10.9 4:10.29 5:10.71 6:5043200
10.53 1:20040819 2:32614676 3:10.65 4:10.3 5:10.3 6:3116800
10.55 1:20040820 2:18559856 3:10.61 4:10.3 5:10.55 6:1777400
10.1 1:20040823 2:16857720 3:10.43 4:9.96 5:10.43 6:1671100
10.25 1:20040824 2:18815702 3:10.4 4:9.8 5:10.1 6:1847800
9.98 1:20040825 2:9367004 3:10.18 4:9.9 5:10.08 6:937700
9.72 1:20040826 2:9802841 3:9.97 4:9.7 5:9.94 6:1001600
9.79 1:20040827 2:6971399 3:9.9 4:9.62 5:9.68 6:713200
9.81 1:20040830 2:9385570 3:10.09 4:9.44 5:9.64 6:950200
9.94 1:20040831 2:12093952 3:10.29 4:9.9 5:10.18 6:1204600
9.67 1:20040901 2:4306206 3:9.89 4:9.67 5:9.84 6:441800
9.78 1:20040902 2:5580173 3:9.83 4:9.59 5:9.63 6:577200
9.73 1:20040903 2:3330681.75 3:9.86 4:9.66 5:9.75 6:341800
9.75 1:20040906 2:3217767.75 3:9.79 4:9.66 5:9.68 6:330900
9.78 1:20040907 2:1923643.25 3:9.83 4:9.68 5:9.68 6:197000
9.73 1:20040908 2:3021458 3:9.81 4:9.68 5:9.78 6:310500
9.49 1:20040909 2:5179937 3:9.69 4:9.48 5:9.51 6:543400
9.68 1:20040910 2:4354296.5 3:9.68 4:9.35 5:9.45 6:458900
9.32 1:20040913 2:4002529 3:9.59 4:9.31 5:9.58 6:425400
9.55 1:20040914 2:4559828.5 3:9.63 4:9.33 5:9.33 6:479600
10.1 1:20040915 2:23135326 3:10.39 4:9.45 5:9.6 6:2306700
10.44 1:20040916 2:32022844 3:10.6 4:10.01 5:10.2 6:3095900
10.7 1:20040917 2:26209270 3:10.7 4:10.16 5:10.5 6:2499600
10.99 1:20040920 2:31645232 3:11 4:10.62 5:10.8 6:2927000
11.03 1:20040921 2:27928346 3:11.2 4:10.78 5:11.03 6:2537100
11.45 1:20040922 2:59783424 3:11.99 4:10.96 5:11.03 6:5105300
11.64 1:20040923 2:18283694 3:11.77 4:11.2 5:11.55 6:1590600
